"pre_tx_ob_ts","tx_ts","post_tx_ob_ts","trade_seq","trade_id","instrument_name","currency","expiration","strike","putcall","block_trade_id","liquidation","direction","tick_direction","tx_amount","tx_iv","cash_iv","price","price_usd","index_price","underlying_price","volume_24h","high_24h","low_24h","pre_tx_bb_size","pre_tx_bb_price","pre_tx_bb_iv","pre_tx_mid_iv","pre_tx_mid_price","pre_tx_mark_iv","pre_tx_mark_price","pre_tx_ba_iv","pre_tx_ba_price","pre_tx_ba_size","post_tx_bb_size","post_tx_bb_price","post_tx_bb_iv","post_tx_mid_iv","post_tx_mid_price","post_tx_mark_iv","post_tx_mark_price","post_tx_ba_iv","post_tx_ba_price","post_tx_ba_size","delta","gamma","theta","vega","rho","pre_tx_oi","post_tx_oi","oi_change","dbt_dir","gvol_dir","max_score_perc"
"2024-04-17 19:41:35.68","2024-04-17 19:41:45.423","2024-04-17 19:41:45.423","73","297861609","BTC-18APR24-61500-C","BTC","2024-04-18 08:00:00",61500,"C",,,"buy","ZeroMinus",0.1,68.98,69.1,0.0055,334.4,60801.03,60778.4828,30.2,0.0205,0.0041,1.8,0.005,66.12,67.98,0.00525,68.47,0.0053,69.84,0.0055,0.5,56.4,0.005,65.27,67.12,0.00525,68.48,0.0054,68.98,0.0055,0.3,0.3274,0.00023,-281.5333,8.22176,0.2747,22.6,22.8,0.1,1,1,100
"2024-04-17 19:41:35.651","2024-04-17 19:41:45.145","2024-04-17 19:41:45.145","236","297861608","BTC-31MAY24-63000-C","BTC","2024-05-31 08:00:00",63000,"C",,,"buy","MinusTick",0.2,69.14,72.6,0.084,5106.15,60787.61,61432.25,31.1,0.1115,0.0795,52.1,0.083,68.52,68.88,0.0835,69.19,0.0839,69.25,0.084,16.6,24.6,0.0835,68.78,68.96,0.08375,69.18,0.0841,69.14,0.084,16.4,0.5055,3e-05,-67.2614,84.61063,30.8689,67.9,68.1,0.1,1,1,77
"2024-04-17 19:41:35.68","2024-04-17 19:41:44.843","2024-04-17 19:41:44.843","72","297861606","BTC-18APR24-61500-C","BTC","2024-04-18 08:00:00",61500,"C",,,"buy","MinusTick",0.1,68.98,inf,0.0055,334.33,60787.61,60778.4512,30.2,0.0205,0.0041,1.8,0.005,66.12,67.98,0.00525,68.47,0.0053,69.84,0.0055,0.5,55.2,0.005,65.27,67.12,0.00525,68.48,0.0054,68.98,0.0055,0.4,0.3274,0.00023,-281.5304,8.22168,0.2747,22.6,22.7,0,1,1,100
"2024-04-17 19:41:17.506","2024-04-17 19:41:28.12","2024-04-17 19:41:31.575","1431","297861591","BTC-26APR24-64000-C","BTC","2024-04-26 08:00:00",64000,"C",,,"buy","MinusTick",0.1,69.88,894.1,0.0225,1367.75,60789.27,60836.39,366.9,0.046,0.021,31.5,0.022,69.21,70.11,0.0225,69.79,0.0223,71.01,0.023,20.3,27.5,0.022,69,69.9,0.0225,69.8,0.0225,70.8,0.023,12.3,0.3364,6e-05,-138.9974,33.90266,4.4546,1139.4,1139.4,0,1,1,11
"2024-04-17 19:41:16.95","2024-04-17 19:41:23.926","2024-04-17 19:41:31.497","86","297861585","BTC-19APR24-62500-C","BTC","2024-04-19 08:00:00",62500,"C",,,"buy","MinusTick",4,70.82,69.6,0.0075,455.87,60783.9,60758.72,147.7,0.0375,0.0065,74.5,0.0065,66.26,68.63,0.007,69.97,0.0073,71,0.0075,15.7,11,0.007,68.24,70.57,0.0075,70.01,0.0074,72.9,0.008,95.4,0.2727,0.00012,-300.8263,12.99824,0.6682,122.3,125.2,2.9,1,1,100
"2024-04-17 19:41:17.969","2024-04-17 19:41:23.924","2024-04-17 19:41:33.141","3720","297861584","BTC-26APR24-75000-C","BTC","2024-04-26 08:00:00",75000,"C",,,"sell","ZeroPlus",1.9,82.52,83.1,0.0028,170.19,60783.9,60817.25,176.9,0.0046,0.002,1.9,0.0028,82.54,82.83,0.00285,82.02,0.0027,83.13,0.0029,2.2,4,0.0026,81.36,82.25,0.00275,82.03,0.0027,83.15,0.0029,10.2,0.0536,1e-05,-48.7908,10.12668,0.7221,2164.2,2164.1,0,-1,1,11
"2024-04-17 19:41:17.5","2024-04-17 19:41:22.905","2024-04-17 19:41:31.75","16","297861583","BTC-20APR24-62500-C","BTC","2024-04-20 08:00:00",62500,"C",,,"buy","MinusTick",0.1,70.5,70.1,0.012,729.3,60775.53,60770.0057,8.7,0.0235,0.0105,29.4,0.0115,68.88,70.56,0.012,70.73,0.012,72.24,0.0125,18.2,37.1,0.0115,68.48,70.15,0.012,70.75,0.0122,71.83,0.0125,13.3,0.3267,0.0001,-256.0549,18.18673,1.3159,8.3,8.4,0,1,-1,33
"2024-04-17 19:41:17.703","2024-04-17 19:41:19.524","2024-04-17 19:41:33.25","377","297861575","BTC-3MAY24-68000-C","BTC","2024-05-03 08:00:00",68000,"C",,,"sell","ZeroMinus",0.5,69.06,70.1,0.019,1154.56,60766.68,60936.466,59.9,0.0365,0.018,77.6,0.019,69.06,69.83,0.0195,69.68,0.0194,70.6,0.02,14,83.6,0.019,69.04,69.81,0.0195,69.69,0.0194,70.58,0.02,11.2,0.2446,4e-05,-88.6308,39.4575,5.8318,133.4,133.4,0,-1,-1,100
"2024-04-17 19:41:10.297","2024-04-17 19:41:10.299","2024-04-17 19:41:10.299","141","297861561","BTC-18APR24-62500-C","BTC","2024-04-18 08:00:00",62500,"C",,,"buy","MinusTick",1,68.6,inf,0.0017,103.23,60726.01,60715.5407,53.9,0.0325,0.0018,5,0.0015,66.05,67.32,0.0016,68.53,0.0017,68.6,0.0017,1,5,0.0015,66.05,69.7,0.0018,68.53,0.0017,73.36,0.0021,8.1,0.1325,0.00014,-102.9012,4.88144,0.1117,33.1,34.1,1,1,-1,88
"2024-04-17 19:41:05.655","2024-04-17 19:41:08.117","2024-04-17 19:41:09.914","519","297861547","BTC-31MAY24-82000-C","BTC","2024-05-31 08:00:00",82000,"C",,,"sell","ZeroPlus",0.2,73.52,75.6,0.0185,1123.81,60746.74,61369.01,49,0.0245,0.017,17,0.0185,73.55,73.85,0.01875,73.21,0.0183,74.15,0.019,43.5,26,0.018,72.99,73.6,0.0185,73.22,0.0182,74.21,0.019,43.5,0.1538,2e-05,-42.273,50.24572,9.9263,438.2,438.2,0,-1,1,55
